bbox_bounds,winsize
"(0, 1328, 278, 1606)",278
"(0, 1494, 278, 1772)",278
"(166, 0, 444, 278)",278
"(166, 166, 444, 444)",278
"(166, 332, 444, 610)",278
"(166, 498, 444, 776)",278
"(166, 664, 444, 942)",278
"(166, 830, 444, 1108)",278
"(166, 996, 444, 1274)",278
"(166, 1162, 444, 1440)",278
"(166, 1328, 444, 1606)",278
"(166, 1494, 444, 1772)",278
"(332, 0, 610, 278)",278
"(332, 166, 610, 444)",278
"(332, 332, 610, 610)",278
"(332, 498, 610, 776)",278
"(332, 664, 610, 942)",278
"(332, 830, 610, 1108)",278
"(332, 996, 610, 1274)",278
"(332, 1162, 610, 1440)",278
"(332, 1328, 610, 1606)",278
"(332, 1494, 610, 1772)",278
"(498, 0, 776, 278)",278
"(498, 166, 776, 444)",278
"(498, 332, 776, 610)",278
"(498, 498, 776, 776)",278
"(498, 664, 776, 942)",278
"(498, 830, 776, 1108)",278
"(498, 996, 776, 1274)",278
"(498, 1162, 776, 1440)",278
"(498, 1328, 776, 1606)",278
"(498, 1494, 776, 1772)",278
"(664, 0, 942, 278)",278
"(664, 166, 942, 444)",278
"(664, 332, 942, 610)",278
"(664, 498, 942, 776)",278
"(664, 664, 942, 942)",278
"(664, 830, 942, 1108)",278
"(664, 996, 942, 1274)",278
"(664, 1162, 942, 1440)",278
"(664, 1328, 942, 1606)",278
"(664, 1494, 942, 1772)",278
"(0, 0, 416, 416)",416
"(0, 250, 416, 666)",416
"(0, 500, 416, 916)",416
"(0, 750, 416, 1166)",416
"(0, 1000, 416, 1416)",416
"(0, 1250, 416, 1666)",416
"(250, 0, 666, 416)",416
"(250, 250, 666, 666)",416
"(250, 500, 666, 916)",416
"(250, 750, 666, 1166)",416
"(250, 1000, 666, 1416)",416
"(250, 1250, 666, 1666)",416
"(500, 0, 916, 416)",416
"(500, 250, 916, 666)",416
"(500, 500, 916, 916)",416
"(500, 750, 916, 1166)",416
"(500, 1000, 916, 1416)",416
"(500, 1250, 916, 1666)",416
