bbox_bounds,winsize
"(1125, 1375, 1333, 1583)",208
"(1250, 0, 1458, 208)",208
"(1250, 125, 1458, 333)",208
"(1250, 250, 1458, 458)",208
"(1250, 375, 1458, 583)",208
"(1250, 500, 1458, 708)",208
"(1250, 625, 1458, 833)",208
"(1250, 750, 1458, 958)",208
"(1250, 875, 1458, 1083)",208
"(1250, 1000, 1458, 1208)",208
"(1250, 1125, 1458, 1333)",208
"(1250, 1250, 1458, 1458)",208
"(1250, 1375, 1458, 1583)",208
"(1375, 0, 1583, 208)",208
"(1375, 125, 1583, 333)",208
"(1375, 250, 1583, 458)",208
"(1375, 375, 1583, 583)",208
"(1375, 500, 1583, 708)",208
"(1375, 625, 1583, 833)",208
"(1375, 750, 1583, 958)",208
"(1375, 875, 1583, 1083)",208
"(1375, 1000, 1583, 1208)",208
"(1375, 1125, 1583, 1333)",208
"(1375, 1250, 1583, 1458)",208
"(1375, 1375, 1583, 1583)",208
"(1500, 0, 1708, 208)",208
"(1500, 125, 1708, 333)",208
"(1500, 250, 1708, 458)",208
"(1500, 375, 1708, 583)",208
"(1500, 500, 1708, 708)",208
"(1500, 625, 1708, 833)",208
"(1500, 750, 1708, 958)",208
"(1500, 875, 1708, 1083)",208
"(1500, 1000, 1708, 1208)",208
"(1500, 1125, 1708, 1333)",208
"(1500, 1250, 1708, 1458)",208
"(1500, 1375, 1708, 1583)",208
"(1625, 0, 1833, 208)",208
"(1625, 125, 1833, 333)",208
"(1625, 250, 1833, 458)",208
"(1625, 375, 1833, 583)",208
"(1625, 500, 1833, 708)",208
"(1625, 625, 1833, 833)",208
"(1625, 750, 1833, 958)",208
"(1625, 875, 1833, 1083)",208
"(1625, 1000, 1833, 1208)",208
"(1625, 1125, 1833, 1333)",208
"(1625, 1250, 1833, 1458)",208
"(1625, 1375, 1833, 1583)",208
"(1750, 0, 1958, 208)",208
"(1750, 125, 1958, 333)",208
"(1750, 250, 1958, 458)",208
"(1750, 375, 1958, 583)",208
"(1750, 500, 1958, 708)",208
"(1750, 625, 1958, 833)",208
"(1750, 750, 1958, 958)",208
"(1750, 875, 1958, 1083)",208
"(1750, 1000, 1958, 1208)",208
"(1750, 1125, 1958, 1333)",208
"(1750, 1250, 1958, 1458)",208
"(1750, 1375, 1958, 1583)",208
"(1875, 0, 2083, 208)",208
"(1875, 125, 2083, 333)",208
"(1875, 250, 2083, 458)",208
"(1875, 375, 2083, 583)",208
"(1875, 500, 2083, 708)",208
"(1875, 625, 2083, 833)",208
"(1875, 750, 2083, 958)",208
"(1875, 875, 2083, 1083)",208
"(1875, 1000, 2083, 1208)",208
"(1875, 1125, 2083, 1333)",208
"(1875, 1250, 2083, 1458)",208
"(1875, 1375, 2083, 1583)",208
"(2000, 0, 2208, 208)",208
"(2000, 125, 2208, 333)",208
"(2000, 250, 2208, 458)",208
"(2000, 375, 2208, 583)",208
"(2000, 500, 2208, 708)",208
"(2000, 625, 2208, 833)",208
"(2000, 750, 2208, 958)",208
"(2000, 875, 2208, 1083)",208
"(2000, 1000, 2208, 1208)",208
"(2000, 1125, 2208, 1333)",208
"(2000, 1250, 2208, 1458)",208
"(2000, 1375, 2208, 1583)",208
"(2125, 0, 2333, 208)",208
"(2125, 125, 2333, 333)",208
"(2125, 250, 2333, 458)",208
"(2125, 375, 2333, 583)",208
"(2125, 500, 2333, 708)",208
"(2125, 625, 2333, 833)",208
"(2125, 750, 2333, 958)",208
"(2125, 875, 2333, 1083)",208
"(2125, 1000, 2333, 1208)",208
"(2125, 1125, 2333, 1333)",208
"(2125, 1250, 2333, 1458)",208
"(2125, 1375, 2333, 1583)",208
"(2250, 0, 2458, 208)",208
"(2250, 125, 2458, 333)",208
"(2250, 250, 2458, 458)",208
"(2250, 375, 2458, 583)",208
"(2250, 500, 2458, 708)",208
"(2250, 625, 2458, 833)",208
"(2250, 750, 2458, 958)",208
"(2250, 875, 2458, 1083)",208
"(2250, 1000, 2458, 1208)",208
"(2250, 1125, 2458, 1333)",208
"(2250, 1250, 2458, 1458)",208
"(2250, 1375, 2458, 1583)",208
"(0, 0, 278, 278)",278
"(0, 166, 278, 444)",278
"(0, 332, 278, 610)",278
"(0, 498, 278, 776)",278
"(0, 664, 278, 942)",278
"(0, 830, 278, 1108)",278
"(0, 996, 278, 1274)",278
"(0, 1162, 278, 1440)",278
"(0, 1328, 278, 1606)",278
"(166, 0, 444, 278)",278
"(166, 166, 444, 444)",278
"(166, 332, 444, 610)",278
"(166, 498, 444, 776)",278
"(166, 664, 444, 942)",278
"(166, 830, 444, 1108)",278
"(166, 996, 444, 1274)",278
"(166, 1162, 444, 1440)",278
"(166, 1328, 444, 1606)",278
"(332, 0, 610, 278)",278
"(332, 166, 610, 444)",278
"(332, 332, 610, 610)",278
"(332, 498, 610, 776)",278
"(332, 664, 610, 942)",278
"(332, 830, 610, 1108)",278
"(332, 996, 610, 1274)",278
"(332, 1162, 610, 1440)",278
"(332, 1328, 610, 1606)",278
"(498, 0, 776, 278)",278
"(498, 166, 776, 444)",278
"(498, 332, 776, 610)",278
"(498, 498, 776, 776)",278
"(498, 664, 776, 942)",278
"(498, 830, 776, 1108)",278
"(498, 996, 776, 1274)",278
"(498, 1162, 776, 1440)",278
"(498, 1328, 776, 1606)",278
"(664, 0, 942, 278)",278
"(664, 166, 942, 444)",278
"(664, 332, 942, 610)",278
"(664, 498, 942, 776)",278
"(664, 664, 942, 942)",278
"(664, 830, 942, 1108)",278
"(664, 996, 942, 1274)",278
"(664, 1162, 942, 1440)",278
"(664, 1328, 942, 1606)",278
"(830, 0, 1108, 278)",278
"(830, 166, 1108, 444)",278
"(830, 332, 1108, 610)",278
"(830, 498, 1108, 776)",278
"(830, 664, 1108, 942)",278
"(830, 830, 1108, 1108)",278
"(830, 996, 1108, 1274)",278
"(830, 1162, 1108, 1440)",278
"(830, 1328, 1108, 1606)",278
"(996, 0, 1274, 278)",278
"(996, 166, 1274, 444)",278
"(996, 332, 1274, 610)",278
"(996, 498, 1274, 776)",278
"(996, 664, 1274, 942)",278
"(996, 830, 1274, 1108)",278
"(996, 996, 1274, 1274)",278
"(996, 1162, 1274, 1440)",278
"(996, 1328, 1274, 1606)",278
"(1162, 0, 1440, 278)",278
"(1162, 166, 1440, 444)",278
"(1162, 332, 1440, 610)",278
"(1162, 498, 1440, 776)",278
"(1162, 664, 1440, 942)",278
"(1162, 830, 1440, 1108)",278
"(1162, 996, 1440, 1274)",278
"(1162, 1162, 1440, 1440)",278
"(1162, 1328, 1440, 1606)",278
"(1328, 0, 1606, 278)",278
"(1328, 166, 1606, 444)",278
"(1328, 332, 1606, 610)",278
"(1328, 498, 1606, 776)",278
"(1328, 664, 1606, 942)",278
"(1328, 830, 1606, 1108)",278
"(1328, 996, 1606, 1274)",278
"(1328, 1162, 1606, 1440)",278
"(1328, 1328, 1606, 1606)",278
"(1494, 0, 1772, 278)",278
"(1494, 166, 1772, 444)",278
"(1494, 332, 1772, 610)",278
"(1494, 498, 1772, 776)",278
"(1494, 664, 1772, 942)",278
"(1494, 830, 1772, 1108)",278
"(1494, 996, 1772, 1274)",278
"(1494, 1162, 1772, 1440)",278
"(1494, 1328, 1772, 1606)",278
"(1660, 0, 1938, 278)",278
"(1660, 166, 1938, 444)",278
"(1660, 332, 1938, 610)",278
"(1660, 498, 1938, 776)",278
"(1660, 664, 1938, 942)",278
"(1660, 830, 1938, 1108)",278
"(1660, 996, 1938, 1274)",278
"(1660, 1162, 1938, 1440)",278
"(1660, 1328, 1938, 1606)",278
"(1826, 0, 2104, 278)",278
"(1826, 166, 2104, 444)",278
"(1826, 332, 2104, 610)",278
"(1826, 498, 2104, 776)",278
"(1826, 664, 2104, 942)",278
"(1826, 830, 2104, 1108)",278
"(1826, 996, 2104, 1274)",278
"(1826, 1162, 2104, 1440)",278
"(1826, 1328, 2104, 1606)",278
"(1992, 0, 2270, 278)",278
"(1992, 166, 2270, 444)",278
"(1992, 332, 2270, 610)",278
"(1992, 498, 2270, 776)",278
"(1992, 664, 2270, 942)",278
"(1992, 830, 2270, 1108)",278
"(1992, 996, 2270, 1274)",278
"(1992, 1162, 2270, 1440)",278
"(1992, 1328, 2270, 1606)",278
"(2158, 0, 2436, 278)",278
"(2158, 166, 2436, 444)",278
"(2158, 332, 2436, 610)",278
"(2158, 498, 2436, 776)",278
"(2158, 664, 2436, 942)",278
"(2158, 830, 2436, 1108)",278
"(2158, 996, 2436, 1274)",278
"(2158, 1162, 2436, 1440)",278
"(2158, 1328, 2436, 1606)",278
"(0, 0, 416, 416)",416
"(0, 250, 416, 666)",416
"(0, 500, 416, 916)",416
"(0, 750, 416, 1166)",416
"(0, 1000, 416, 1416)",416
"(0, 1250, 416, 1666)",416
"(250, 0, 666, 416)",416
"(250, 250, 666, 666)",416
"(250, 500, 666, 916)",416
"(250, 750, 666, 1166)",416
"(250, 1000, 666, 1416)",416
"(250, 1250, 666, 1666)",416
"(500, 0, 916, 416)",416
"(500, 250, 916, 666)",416
"(500, 500, 916, 916)",416
"(500, 750, 916, 1166)",416
"(500, 1000, 916, 1416)",416
"(500, 1250, 916, 1666)",416
"(750, 0, 1166, 416)",416
"(750, 250, 1166, 666)",416
"(750, 500, 1166, 916)",416
"(750, 750, 1166, 1166)",416
"(750, 1000, 1166, 1416)",416
"(750, 1250, 1166, 1666)",416
"(1000, 0, 1416, 416)",416
"(1000, 250, 1416, 666)",416
"(1000, 500, 1416, 916)",416
"(1000, 750, 1416, 1166)",416
"(1000, 1000, 1416, 1416)",416
"(1000, 1250, 1416, 1666)",416
"(1250, 0, 1666, 416)",416
"(1250, 250, 1666, 666)",416
"(1250, 500, 1666, 916)",416
"(1250, 750, 1666, 1166)",416
"(1250, 1000, 1666, 1416)",416
"(1250, 1250, 1666, 1666)",416
"(1500, 0, 1916, 416)",416
"(1500, 250, 1916, 666)",416
"(1500, 500, 1916, 916)",416
"(1500, 750, 1916, 1166)",416
"(1500, 1000, 1916, 1416)",416
"(1500, 1250, 1916, 1666)",416
"(1750, 0, 2166, 416)",416
"(1750, 250, 2166, 666)",416
"(1750, 500, 2166, 916)",416
"(1750, 750, 2166, 1166)",416
"(1750, 1000, 2166, 1416)",416
"(1750, 1250, 2166, 1666)",416
"(2000, 0, 2416, 416)",416
"(2000, 250, 2416, 666)",416
"(2000, 500, 2416, 916)",416
"(2000, 750, 2416, 1166)",416
"(2000, 1000, 2416, 1416)",416
"(2000, 1250, 2416, 1666)",416
